crop,location,month,season,festival,previous_demand,supply,temperature,quantity_demanded,recommended_price
Grapes,Narayangaon,1,Rabi,0,6523,3770,26.1,8511,27.11
Tomato,Manchar,5,Rabi,1,13980,8315,26.6,12060,32.62
Tomato,Hadapsar,5,Zaid,0,12926,15360,27.2,8307,14.42
Grapes,Manchar,1,Rabi,0,6581,3354,26.6,7318,25.95
Tomato,Narayangaon,12,Zaid,0,14708,12018,20.5,7579,18.34
Wheat,Chakan,9,Zaid,1,8762,8478,15.0,9444,23.45
Rice (Basmati),Narayangaon,2,Zaid,0,7282,6642,30.9,7222,20.87
Rice (Basmati),Hadapsar,7,Monsoon,1,5965,6581,18.5,10521,27.91
Onion,Pune,7,Kharif,1,17055,14301,15.2,13241,30.41
Rice (Basmati),Hadapsar,11,Monsoon,0,8700,7943,19.1,7918,19.96
Rice (Basmati),Pune,6,Monsoon,0,7225,4816,24.1,10567,28.63
Potato,Narayangaon,9,Kharif,0,14926,13004,10.2,7396,11.59
Soybean,Manchar,6,Monsoon,0,9327,7659,22.7,7467,19.71
Onion,Narayangaon,6,Zaid,0,13498,13266,23.4,8909,23.46
Pomegranate,Manchar,4,Zaid,0,7739,5512,30.3,8093,23.87
Onion,Manchar,1,Kharif,0,16198,15171,25.5,8010,19.26
Soybean,Pune,10,Rabi,1,9502,8060,11.1,10440,25.57
Rice (Basmati),Chakan,12,Kharif,0,5537,9769,19.8,4932,12.74
Soybean,Junnar,3,Kharif,0,8381,8853,29.9,7094,17.36
Onion,Hadapsar,11,Rabi,0,12489,14383,19.1,6966,18.87
Grapes,Baramati,10,Monsoon,0,12155,10053,13.0,6764,15.07
Pomegranate,Narayangaon,1,Monsoon,0,12376,7830,25.4,9335,22.26
Grapes,Hadapsar,12,Kharif,0,8926,3082,23.7,7413,26.5
Pomegranate,Junnar,4,Monsoon,1,6101,10087,29.7,8348,19.39
Pomegranate,Manchar,6,Kharif,1,8699,2588,22.2,11440,35.28
Grapes,Pune,8,Rabi,1,9341,5769,12.4,11650,30.82
Grapes,Hadapsar,6,Monsoon,1,9205,9105,22.0,9760,22.98
Pomegranate,Junnar,1,Zaid,0,10430,5006,23.4,9311,26.46
Soybean,Hadapsar,3,Rabi,0,9244,9822,32.8,7842,17.03
Potato,Chakan,5,Kharif,0,13668,13077,29.7,8343,12.9
Onion,Narayangaon,11,Kharif,0,16407,13898,16.6,8954,22.58
Rice (Basmati),Junnar,11,Kharif,1,9251,8713,15.8,10210,24.25
Potato,Hadapsar,2,Zaid,0,16117,13099,30.7,7240,11.21
Tomato,Chakan,9,Kharif,0,18217,14387,11.3,10249,18.79
Soybean,Baramati,6,Rabi,0,9275,6333,22.3,7409,21.61
Tomato,Junnar,11,Zaid,0,18812,12342,17.5,10540,22.3
Onion,Manchar,2,Kharif,1,13705,14047,29.8,10517,26.7
Potato,Manchar,4,Monsoon,0,15329,13234,27.9,8798,13.35
Grapes,Manchar,11,Zaid,0,10426,5241,15.8,7961,24.08
Tomato,Junnar,7,Kharif,0,13967,13009,16.6,6938,15.89
Onion,Junnar,12,Rabi,0,11540,12923,18.6,6276,20.03
Soybean,Chakan,8,Kharif,0,7237,5050,16.1,6241,21.79
Soybean,Baramati,5,Rabi,1,7174,4183,26.9,9766,30.37
Pomegranate,Chakan,12,Rabi,1,8473,3842,19.7,11254,33.12
Potato,Baramati,12,Rabi,1,15626,13406,25.1,10480,17.61
Rice (Basmati),Narayangaon,9,Rabi,0,11665,8535,13.0,8474,19.91
Pomegranate,Junnar,7,Zaid,0,8033,5620,21.2,7134,22.27
Wheat,Baramati,6,Zaid,0,8411,5844,22.7,6902,21.59
Potato,Pune,8,Kharif,1,15086,16862,13.5,11703,14.26
Grapes,Junnar,6,Monsoon,1,8191,6926,20.7,9797,26.31
Soybean,Baramati,5,Rabi,1,2852,5864,27.4,9210,27.02
Grapes,Junnar,8,Rabi,0,10436,5217,11.9,8379,24.74
Tomato,Chakan,5,Rabi,1,19959,19168,30.0,11761,15.89
Rice (Basmati),Junnar,10,Rabi,0,5361,4980,14.1,4985,20.01
Rice (Basmati),Pune,8,Rabi,0,9403,6954,14.2,9040,23.13
Rice (Basmati),Pune,12,Kharif,0,10744,8018,25.8,8012,19.99
Rice (Basmati),Narayangaon,2,Kharif,0,5564,8134,29.9,7811,19.52
Wheat,Junnar,5,Zaid,0,9446,5366,28.3,8926,25.34
Soybean,Pune,12,Kharif,1,8450,7714,19.5,10528,26.22
Potato,Chakan,7,Zaid,0,15557,9932,17.4,9458,19.29
Soybean,Manchar,6,Rabi,0,7136,10412,21.5,5262,12.28
Potato,Chakan,8,Kharif,0,17417,17757,11.1,8186,10.0
Wheat,Narayangaon,6,Zaid,0,3612,6732,21.5,6074,19.01
Rice (Basmati),Baramati,10,Monsoon,0,6373,1661,12.0,8932,30.91
Grapes,Chakan,12,Kharif,0,8038,7074,19.2,6876,19.7
Potato,Pune,8,Monsoon,0,13711,8513,13.9,9656,21.72
Soybean,Narayangaon,3,Zaid,0,7609,10197,31.2,6560,14.54
Pomegranate,Narayangaon,7,Zaid,0,6389,9030,15.7,5525,14.74
Grapes,Pune,2,Rabi,1,10037,7228,29.8,11257,28.04
Rice (Basmati),Pune,4,Rabi,0,9552,9930,27.0,8215,17.43
Grapes,Pune,11,Monsoon,0,8086,5859,20.8,7697,22.76
Soybean,Narayangaon,10,Kharif,1,7638,5734,12.9,10504,29.16
Rice (Basmati),Junnar,5,Monsoon,0,5151,7607,27.4,6044,17.66
Soybean,Baramati,3,Rabi,1,8870,5693,33.4,11630,30.91
Soybean,Hadapsar,6,Monsoon,1,4184,4349,21.2,11257,32.36
Soybean,Hadapsar,1,Kharif,0,9289,7265,26.5,7683,20.63
Potato,Hadapsar,8,Rabi,1,12844,11908,13.2,9714,18.71
Grapes,Hadapsar,6,Zaid,0,10401,5342,21.2,9711,26.55
Tomato,Junnar,5,Monsoon,1,15672,18393,26.9,9237,13.27
Wheat,Manchar,6,Zaid,0,8118,7617,21.3,7132,19.27
Soybean,Baramati,7,Zaid,0,8360,7719,16.6,6398,18.02
Wheat,Chakan,10,Monsoon,0,6726,1856,16.5,7777,28.88
Grapes,Narayangaon,5,Monsoon,0,8932,2114,26.1,8401,29.43
Soybean,Hadapsar,2,Zaid,0,6246,3713,26.1,6721,24.51
Rice (Basmati),Pune,3,Rabi,1,11980,7377,35.3,11076,27.55
Potato,Manchar,7,Kharif,0,15509,12570,11.3,8453,13.82
Pomegranate,Narayangaon,9,Kharif,1,8676,5874,14.5,10934,29.59
Potato,Pune,4,Zaid,0,13272,16699,32.7,6883,10.0
Grapes,Pune,4,Rabi,1,8147,5659,33.2,11649,30.98
Tomato,Chakan,9,Kharif,0,12414,14931,12.9,4616,10.0
Grapes,Pune,12,Rabi,0,10992,5310,20.3,8579,24.9
Tomato,Pune,3,Monsoon,0,14922,13344,29.8,7071,15.59
Grapes,Narayangaon,12,Kharif,0,4181,9796,22.1,4322,11.79
Grapes,Pune,12,Zaid,0,8194,5240,22.7,7631,23.59
Onion,Narayangaon,11,Zaid,0,15947,12831,18.7,6402,20.36
Soybean,Baramati,12,Kharif,1,6818,8138,23.3,8737,22.9
Rice (Basmati),Narayangaon,4,Monsoon,0,5116,8643,28.8,4232,13.38
Pomegranate,Hadapsar,4,Monsoon,1,7757,10920,31.7,10670,21.63
Rice (Basmati),Narayangaon,5,Monsoon,0,8200,8664,25.3,7955,18.94
Onion,Manchar,2,Kharif,1,11448,15819,29.4,9579,22.64
Grapes,Hadapsar,4,Rabi,0,6526,5583,31.3,6135,20.83
Wheat,Junnar,9,Monsoon,0,7249,9456,13.0,5367,13.87
Rice (Basmati),Manchar,10,Monsoon,0,9786,11074,12.5,7304,14.34
Rice (Basmati),Narayangaon,11,Monsoon,0,11079,9265,21.5,7663,17.6
Pomegranate,Hadapsar,11,Monsoon,1,10939,7239,18.3,10480,26.86
Onion,Narayangaon,8,Monsoon,0,16801,14628,15.7,7154,18.79
Tomato,Manchar,2,Kharif,0,11559,18069,32.5,4437,10.0
Rice (Basmati),Narayangaon,12,Rabi,0,10741,8238,22.6,6837,17.9
Wheat,Narayangaon,11,Zaid,0,7428,1213,16.6,9141,31.89
Wheat,Narayangaon,9,Rabi,0,5858,11279,9.4,5149,10.81
Potato,Narayangaon,9,Rabi,0,15771,16704,13.4,5190,10.0
Rice (Basmati),Narayangaon,8,Rabi,1,9762,8255,15.1,9931,24.51
Wheat,Narayangaon,6,Zaid,0,7531,6859,21.6,7498,20.96
Potato,Manchar,7,Zaid,0,16265,14225,17.4,7997,10.66
Tomato,Pune,6,Zaid,0,16365,12713,19.3,9655,20.41
Grapes,Junnar,11,Kharif,0,9168,1739,19.7,9372,31.45
Pomegranate,Manchar,2,Kharif,1,6919,3135,28.4,10765,33.44
Soybean,Chakan,7,Zaid,1,6409,6040,13.1,9357,26.97
Rice (Basmati),Junnar,1,Kharif,0,8543,9143,25.0,8093,18.43
Wheat,Chakan,5,Zaid,0,4845,7678,26.4,6964,18.93
Potato,Manchar,11,Kharif,1,17249,15326,16.8,9350,13.04
Rice (Basmati),Manchar,11,Zaid,0,10478,13211,15.0,5169,10.0
Rice (Basmati),Baramati,9,Monsoon,0,6499,6388,11.9,6519,20.2
Potato,Manchar,2,Zaid,0,18146,9478,28.7,10842,22.05
Potato,Chakan,4,Rabi,1,13601,16406,30.8,10216,12.71
Rice (Basmati),Pune,9,Kharif,0,10447,3563,14.9,8531,27.45
Grapes,Narayangaon,11,Monsoon,1,6961,5648,17.9,10167,28.78
Onion,Pune,6,Kharif,0,12499,13555,17.9,6247,19.04
Rice (Basmati),Hadapsar,8,Kharif,0,11167,3706,17.3,8576,27.31
Grapes,Junnar,9,Rabi,0,7406,5605,10.9,6515,21.36
Soybean,Hadapsar,2,Rabi,1,6323,5241,30.3,10034,29.19
Wheat,Chakan,6,Rabi,0,7757,5481,20.3,6431,21.42
Wheat,Chakan,11,Zaid,0,7460,5777,17.3,8271,23.74
Potato,Chakan,4,Kharif,0,17405,14293,30.6,7843,10.33
Wheat,Baramati,4,Rabi,0,9192,3956,28.7,6871,24.37
Wheat,Manchar,3,Kharif,0,9057,9703,33.7,6356,14.98
Wheat,Junnar,1,Zaid,0,11983,4420,25.9,9320,27.35
Potato,Junnar,11,Rabi,0,14413,9876,17.7,10011,20.2
Tomato,Narayangaon,8,Rabi,0,14886,15334,12.7,7320,12.98
Potato,Junnar,7,Monsoon,0,14970,12663,18.0,8753,14.14
Rice (Basmati),Chakan,10,Zaid,0,7777,4488,12.6,7351,24.3
Wheat,Hadapsar,3,Rabi,0,7312,7938,31.8,5151,15.82
Potato,Hadapsar,3,Kharif,0,15400,13521,30.7,7306,10.68
Rice (Basmati),Pune,7,Zaid,1,2702,9879,18.8,5384,15.26
Soybean,Pune,9,Rabi,0,4725,6799,12.6,5981,18.77
Onion,Manchar,11,Rabi,0,13076,14756,16.7,6385,17.44
Soybean,Junnar,9,Monsoon,0,7297,6646,12.1,7416,21.15
Soybean,Junnar,5,Kharif,0,5477,7768,25.1,6072,17.46
Pomegranate,Junnar,12,Zaid,0,10933,9676,21.1,8378,18.05
Onion,Manchar,6,Kharif,0,11945,9245,20.8,9083,29.76
Pomegranate,Baramati,12,Monsoon,0,8870,7689,20.4,7666,19.97
Potato,Manchar,7,Monsoon,1,15797,11429,15.0,11606,22.27
Wheat,Junnar,7,Rabi,1,6836,3565,16.6,12733,35.75
Pomegranate,Manchar,11,Rabi,0,7793,3402,21.2,9691,29.43
Onion,Chakan,8,Zaid,0,15662,17128,15.1,6049,13.38
Rice (Basmati),Pune,5,Rabi,0,7658,3843,28.2,7649,25.71
Wheat,Pune,12,Kharif,0,6379,2160,21.6,8224,29.1
Grapes,Hadapsar,11,Rabi,0,8411,3915,15.2,9568,28.48
Soybean,Hadapsar,3,Rabi,0,7913,2028,32.5,7578,28.33
Soybean,Narayangaon,3,Zaid,0,8642,6985,29.5,7648,20.99
Onion,Baramati,8,Zaid,0,19024,10077,12.0,10729,30.98
Tomato,Chakan,7,Zaid,0,12022,13735,15.6,5125,12.08
Tomato,Junnar,4,Zaid,1,12775,10924,28.9,9623,25.05
Tomato,Baramati,5,Zaid,0,15356,13854,25.3,8660,17.21
Tomato,Chakan,9,Rabi,0,14052,12586,12.0,8996,19.62
Wheat,Hadapsar,10,Monsoon,1,6440,9205,10.6,8399,20.79
Soybean,Junnar,5,Zaid,0,9732,5794,26.7,7983,23.28
Wheat,Baramati,7,Kharif,0,7850,7714,19.8,7637,19.88
Potato,Narayangaon,3,Rabi,0,17070,9950,33.6,9889,19.91
Soybean,Pune,4,Zaid,1,4984,3608,30.6,9183,30.36
Soybean,Chakan,8,Rabi,0,8517,7032,14.9,6866,19.75
Potato,Narayangaon,2,Monsoon,0,15663,13854,28.4,9339,13.23
Tomato,Manchar,8,Zaid,0,14280,11680,14.1,8520,20.26
Grapes,Chakan,10,Monsoon,0,10406,8439,15.0,7205,18.15
Tomato,Hadapsar,1,Kharif,0,12714,15550,26.9,6493,11.41
Soybean,Junnar,11,Kharif,0,7299,9125,17.7,5848,15.08
Rice (Basmati),Pune,2,Zaid,0,12970,7162,33.2,8888,22.59
Soybean,Chakan,4,Zaid,0,8946,8843,28.7,8332,19.23
Tomato,Baramati,8,Monsoon,0,16866,12943,15.5,10316,21.06
Soybean,Junnar,3,Rabi,1,9993,4676,30.0,11292,31.92
Grapes,Baramati,1,Kharif,1,5128,3210,27.6,7956,29.12
Grapes,Junnar,7,Zaid,0,6658,6177,15.8,4398,17.33
Rice (Basmati),Manchar,9,Monsoon,0,3146,4324,12.9,6839,23.77
Potato,Pune,10,Zaid,1,10963,13863,14.9,9104,14.86
Soybean,Chakan,9,Kharif,0,5182,5478,13.0,7109,22.45
Pomegranate,Hadapsar,6,Zaid,0,8643,6920,20.0,7200,20.42
Wheat,Hadapsar,2,Zaid,0,10911,8519,30.4,7355,18.25
Onion,Manchar,1,Kharif,0,15398,13915,28.4,9106,22.79
Grapes,Narayangaon,2,Rabi,0,6830,9014,27.3,6509,16.24
Onion,Pune,4,Rabi,0,14169,15119,32.9,7242,18.19
Pomegranate,Baramati,10,Zaid,0,5322,6899,12.0,5948,18.57
Wheat,Chakan,6,Zaid,1,3849,6285,21.7,8327,25.06
Tomato,Manchar,7,Kharif,1,15466,14612,15.1,9606,19.49
Onion,Chakan,2,Kharif,0,14815,10273,29.4,9264,28.49
Potato,Hadapsar,6,Monsoon,0,14317,13504,22.2,10165,14.99
Onion,Manchar,4,Rabi,0,15976,11330,29.6,8094,25.15
Rice (Basmati),Baramati,6,Rabi,0,6012,7550,20.3,6237,18.03
Onion,Manchar,1,Zaid,1,13641,11439,28.6,11475,32.05
Potato,Pune,5,Kharif,0,15064,16731,26.1,9340,10.0
Rice (Basmati),Narayangaon,3,Zaid,0,6432,11752,35.3,5258,10.26
Onion,Junnar,2,Zaid,0,12501,10730,27.9,9102,27.56
Pomegranate,Narayangaon,2,Rabi,1,6064,5724,29.4,8999,26.91
Onion,Chakan,12,Monsoon,0,18213,13904,20.2,9730,23.74
Potato,Narayangaon,10,Rabi,0,9839,14784,12.6,4187,10.0
Soybean,Junnar,10,Kharif,1,6321,9886,10.5,8785,20.35
Tomato,Pune,8,Kharif,1,12127,12050,12.3,11304,25.88
Tomato,Hadapsar,2,Monsoon,0,13063,15501,27.2,6128,10.94
Onion,Hadapsar,1,Rabi,0,16613,9471,27.4,9644,30.26
Rice (Basmati),Junnar,4,Rabi,0,11343,10899,30.4,6922,14.03
Potato,Junnar,12,Kharif,1,14947,11316,19.8,12463,23.72
Tomato,Narayangaon,5,Zaid,0,15286,15624,28.4,8010,13.58
Pomegranate,Chakan,11,Kharif,1,10387,5112,17.3,12193,32.62
Grapes,Baramati,8,Kharif,0,7261,6396,13.0,6368,19.96
Soybean,Hadapsar,7,Monsoon,0,12205,5859,16.3,8877,24.53
Grapes,Junnar,1,Rabi,0,6312,5860,22.3,7478,22.43
Onion,Manchar,12,Rabi,0,15085,14873,25.1,8576,20.55
Wheat,Narayangaon,5,Monsoon,0,5234,3548,25.0,6717,24.75
Onion,Baramati,4,Zaid,1,18816,13319,30.2,13625,32.46
Potato,Narayangaon,12,Kharif,0,12343,13472,18.9,7922,11.68
Soybean,Junnar,3,Rabi,0,10750,3758,33.6,8630,27.31
Rice (Basmati),Junnar,5,Kharif,0,7136,4682,30.3,7571,24.33
Tomato,Chakan,6,Monsoon,1,13242,16207,23.8,8359,15.23
Grapes,Baramati,7,Rabi,0,9160,7859,15.6,7279,19.13
Onion,Hadapsar,2,Rabi,0,15369,15723,29.0,8014,18.44
Rice (Basmati),Chakan,11,Zaid,0,6911,2788,15.6,7511,27.08
Wheat,Narayangaon,5,Monsoon,0,6890,9827,29.3,5830,14.0
Onion,Hadapsar,6,Kharif,0,11970,11497,23.5,7850,24.53
Rice (Basmati),Baramati,6,Monsoon,1,6804,6922,24.4,8446,24.29
Rice (Basmati),Manchar,5,Kharif,0,2591,4925,26.0,6192,21.9
Potato,Narayangaon,9,Monsoon,0,14947,14445,11.1,8966,11.78
Soybean,Manchar,7,Kharif,0,9340,6679,16.2,7472,21.19
Rice (Basmati),Narayangaon,4,Zaid,1,10580,3274,33.1,10701,33.14
Grapes,Baramati,5,Rabi,0,9414,13372,27.3,3928,10.0
Onion,Chakan,2,Kharif,0,13703,11439,28.8,7851,24.62
Onion,Pune,5,Rabi,0,13459,10425,27.4,9401,28.46
Onion,Junnar,12,Rabi,0,14791,14483,20.5,7753,19.9
Rice (Basmati),Junnar,10,Rabi,0,8442,3974,12.3,9611,28.45
Rice (Basmati),Hadapsar,5,Zaid,1,6098,7296,25.0,8618,23.98
Pomegranate,Junnar,8,Monsoon,0,6171,5060,13.0,8570,25.26
Potato,Baramati,10,Kharif,0,14274,8481,12.6,8859,20.57
Soybean,Manchar,4,Monsoon,0,10622,5939,32.4,8547,23.91
Grapes,Baramati,8,Zaid,0,8334,7543,14.5,6896,19.03
Wheat,Hadapsar,1,Zaid,0,9191,5025,26.7,8241,24.82
Potato,Manchar,3,Rabi,0,17424,12267,34.1,9103,15.25
Onion,Chakan,3,Rabi,0,17292,11557,35.1,7919,24.54
Rice (Basmati),Narayangaon,12,Rabi,1,6483,4074,24.9,9207,29.7
Tomato,Chakan,11,Monsoon,0,18369,16000,20.4,7867,12.8
Tomato,Baramati,7,Zaid,0,17141,16680,16.8,7464,11.18
Soybean,Chakan,11,Rabi,1,3658,5219,20.6,9195,27.96
Potato,Baramati,12,Rabi,1,13970,14109,21.9,11483,18.06
Tomato,Baramati,7,Kharif,0,14500,14297,17.4,8774,16.72
Pomegranate,Junnar,12,Monsoon,0,7463,1909,21.1,9206,30.95
Onion,Manchar,4,Monsoon,0,17283,12395,30.6,8990,24.89
Tomato,Hadapsar,7,Kharif,0,13457,10306,17.4,10160,24.78
Tomato,Baramati,1,Zaid,0,14773,13680,26.3,6529,14.27
Soybean,Manchar,11,Zaid,0,6061,6887,19.5,8332,22.17
Potato,Pune,4,Rabi,0,16793,13553,30.5,10147,14.89
Wheat,Junnar,8,Rabi,0,4517,5572,10.0,6740,21.75
Rice (Basmati),Chakan,1,Kharif,0,7203,9463,30.4,5657,14.29
Rice (Basmati),Manchar,7,Monsoon,0,7487,5155,18.6,5589,20.65
Pomegranate,Pune,1,Kharif,1,7359,6562,26.3,8333,24.66
Wheat,Chakan,1,Kharif,1,8649,1990,22.2,12707,38.07
Rice (Basmati),Baramati,6,Kharif,1,13023,6399,22.5,10769,28.56
Grapes,Hadapsar,2,Rabi,1,4858,9889,29.4,8481,19.89
Tomato,Pune,12,Kharif,1,17907,13304,18.3,13063,26.64
Wheat,Baramati,1,Kharif,0,4566,6581,21.2,6444,19.79
Grapes,Chakan,12,Rabi,0,7280,7811,23.6,6478,18.0
Onion,Junnar,4,Rabi,0,16074,9573,29.4,9935,30.54
Potato,Chakan,2,Kharif,0,16761,14740,32.1,7954,10.0
Onion,Chakan,6,Zaid,0,14736,12191,19.3,7157,22.45
Wheat,Narayangaon,5,Monsoon,0,5358,1191,27.6,7832,29.96
Wheat,Junnar,9,Zaid,1,7841,516,12.0,11732,38.82
Rice (Basmati),Narayangaon,3,Rabi,0,9918,7926,28.6,6843,18.38
Potato,Manchar,6,Rabi,0,14941,11580,20.6,7688,14.16
Onion,Baramati,10,Zaid,0,16818,11502,11.1,9306,26.71
Grapes,Baramati,8,Zaid,0,4360,5214,11.6,7540,23.49
Soybean,Baramati,9,Monsoon,0,5813,7745,13.3,4727,15.47
Onion,Pune,4,Rabi,0,17093,15401,32.5,7628,18.34
Potato,Baramati,10,Monsoon,0,16363,10616,14.8,9560,18.42
Tomato,Pune,8,Rabi,0,14599,9082,15.1,7311,22.34
Pomegranate,Hadapsar,8,Rabi,0,6692,6568,13.2,5124,17.83
Onion,Manchar,9,Zaid,0,12693,11387,9.8,7553,24.25
Tomato,Hadapsar,11,Rabi,0,15454,12690,18.2,9055,19.55
Tomato,Junnar,12,Kharif,1,18718,15955,25.4,9208,16.88
Pomegranate,Narayangaon,6,Rabi,0,4516,5135,19.8,6401,21.9
Soybean,Baramati,2,Zaid,0,8158,9135,28.7,6442,15.96
Pomegranate,Baramati,5,Zaid,1,6666,6995,25.8,9164,25.25
Rice (Basmati),Chakan,6,Kharif,1,10244,7424,20.8,11209,27.68
Tomato,Hadapsar,6,Kharif,0,12253,7468,22.9,9977,28.76
Potato,Pune,6,Rabi,0,14074,10019,22.5,8009,16.98
Potato,Pune,3,Zaid,0,13917,13321,34.2,7114,10.69
Wheat,Hadapsar,10,Kharif,1,10960,6027,14.7,11416,30.08
Pomegranate,Manchar,1,Zaid,0,10739,3785,29.5,10106,29.48
Wheat,Narayangaon,8,Kharif,0,7356,6772,15.3,7175,20.6
Pomegranate,Hadapsar,8,Monsoon,0,8453,5096,12.2,8548,25.18
Potato,Manchar,9,Zaid,0,18859,11987,9.6,9138,15.73
Grapes,Junnar,5,Monsoon,0,12928,7317,27.9,11221,25.86
Tomato,Junnar,10,Rabi,0,14010,12256,15.6,8224,18.95
Soybean,Manchar,12,Monsoon,0,6923,8982,24.2,4366,13.08
Soybean,Hadapsar,10,Kharif,0,10377,11123,15.0,7977,15.28
Pomegranate,Narayangaon,4,Kharif,0,8766,4488,28.4,8626,26.21
Grapes,Hadapsar,3,Rabi,0,10590,7861,33.7,8392,20.8
Wheat,Manchar,5,Monsoon,1,9797,3079,27.4,11914,35.25
Wheat,Hadapsar,9,Zaid,1,6599,8204,11.0,9312,23.66
Rice (Basmati),Pune,8,Zaid,1,9330,4588,14.2,11073,31.73
Pomegranate,Pune,2,Zaid,1,9763,6465,30.3,12218,30.63
Wheat,Junnar,1,Rabi,0,5350,7860,30.8,6256,17.59
Soybean,Baramati,1,Monsoon,0,6853,5809,29.7,6645,21.25
Soybean,Chakan,6,Monsoon,0,7025,9186,23.0,8129,18.41
Rice (Basmati),Baramati,12,Zaid,0,8846,-436,21.5,8581,33.52
Tomato,Hadapsar,2,Monsoon,0,18889,12636,29.7,9415,20.17
Potato,Baramati,2,Zaid,0,15569,14301,29.4,5001,10.0
Grapes,Junnar,12,Zaid,0,7770,4221,23.3,6503,23.42
Wheat,Baramati,2,Kharif,0,5330,3775,32.0,8044,26.4
Wheat,Narayangaon,2,Kharif,0,9638,6895,34.1,6952,20.09
Wheat,Hadapsar,8,Monsoon,1,6986,6050,13.7,11708,30.49
Onion,Baramati,3,Rabi,0,14492,11843,32.1,8348,24.76
Tomato,Chakan,7,Monsoon,0,15809,11219,18.8,9653,22.65
Soybean,Narayangaon,5,Rabi,0,8334,6596,29.6,6640,20.07
Grapes,Junnar,6,Rabi,0,7984,6895,21.4,8416,22.28
Potato,Baramati,10,Kharif,1,18460,9807,11.0,15273,30.2
Rice (Basmati),Baramati,8,Monsoon,0,7310,7723,14.7,5768,17.07
Wheat,Manchar,8,Rabi,0,7469,9091,12.2,6675,16.38
Pomegranate,Chakan,8,Monsoon,0,10292,-594,13.3,10189,36.17
Tomato,Pune,3,Kharif,0,16343,12068,29.3,9331,20.89
Rice (Basmati),Narayangaon,12,Kharif,1,4910,5152,22.8,10256,29.66
Pomegranate,Pune,11,Rabi,0,5071,9787,17.0,5270,13.22
Tomato,Pune,6,Rabi,1,14549,16973,23.3,11344,18.56
Soybean,Baramati,10,Kharif,0,8564,6068,14.1,7471,22.1
Pomegranate,Baramati,3,Rabi,0,7369,4147,32.5,6901,24.13
Tomato,Narayangaon,5,Zaid,0,14353,10604,27.4,8961,22.54
Onion,Chakan,6,Zaid,0,16305,9422,23.0,8640,28.83
Potato,Pune,4,Kharif,1,15043,11134,30.5,11327,22.29
Soybean,Chakan,6,Monsoon,1,8894,7471,21.2,10436,26.45
Pomegranate,Narayangaon,9,Zaid,0,8621,4981,9.9,7036,23.08
Onion,Manchar,3,Monsoon,0,15867,12229,31.0,8802,24.86
Potato,Manchar,10,Rabi,0,16333,14945,14.5,7921,10.0
Grapes,Junnar,12,Monsoon,0,10420,9256,19.7,6753,16.25
Pomegranate,Baramati,2,Monsoon,0,4046,9210,31.1,4808,13.4
Wheat,Junnar,11,Zaid,0,8244,5114,17.8,7631,23.77
Rice (Basmati),Hadapsar,4,Zaid,1,6374,7408,29.2,9990,25.87
Tomato,Pune,3,Kharif,0,14283,14624,30.5,7521,14.35
Potato,Baramati,5,Rabi,0,16537,11939,20.8,9162,15.83
Grapes,Pune,8,Monsoon,0,6263,6745,15.5,6226,19.22
Pomegranate,Pune,8,Monsoon,1,8784,4848,13.8,10247,30.1
Potato,Narayangaon,4,Kharif,0,16562,11084,31.2,10323,18.86
Wheat,Junnar,3,Monsoon,0,10309,6118,30.5,8437,23.48
Rice (Basmati),Pune,7,Kharif,0,8905,1042,19.7,9629,32.88
Soybean,Hadapsar,2,Zaid,0,8161,4853,32.0,7946,24.64
Grapes,Pune,3,Zaid,1,9270,12479,32.8,9010,16.8
Soybean,Hadapsar,11,Zaid,1,7599,3360,18.3,10017,31.99
Potato,Narayangaon,8,Rabi,0,16014,13357,10.5,7691,11.5
Tomato,Manchar,8,Zaid,1,16325,11174,13.2,11841,28.0
Grapes,Junnar,1,Zaid,0,9319,4490,27.6,8133,25.46
Grapes,Junnar,10,Zaid,0,7942,3179,14.7,8024,27.27
Onion,Manchar,2,Kharif,0,16738,10534,31.8,10155,29.43
Wheat,Manchar,7,Zaid,0,6331,2877,17.5,9270,29.59
Onion,Baramati,2,Monsoon,0,16371,13146,33.0,9136,23.99
Potato,Baramati,8,Rabi,0,15592,14482,13.4,6614,10.0
Grapes,Narayangaon,3,Kharif,1,10363,12359,33.7,10386,19.04
Potato,Manchar,5,Monsoon,1,12176,12903,30.9,10859,18.93
Onion,Pune,8,Zaid,0,12902,12494,13.7,8397,23.85
Onion,Narayangaon,7,Kharif,0,13637,15920,19.0,8053,18.2
Onion,Junnar,11,Rabi,0,16265,12315,15.5,10421,27.16
Onion,Chakan,6,Rabi,0,12974,9282,22.0,7748,27.7
Rice (Basmati),Hadapsar,8,Monsoon,0,9342,8009,12.6,6316,17.46
Pomegranate,Narayangaon,9,Kharif,1,6197,8008,10.4,8802,23.19
Grapes,Hadapsar,2,Rabi,1,6963,9813,32.3,8999,20.78
Potato,Baramati,10,Rabi,1,17702,16732,16.7,11367,13.95
Soybean,Chakan,2,Kharif,0,9306,8705,30.5,6253,16.32
Pomegranate,Junnar,11,Monsoon,0,7137,6240,17.5,7569,21.99
Grapes,Pune,10,Zaid,1,8006,9575,15.3,7930,19.53
Grapes,Narayangaon,9,Zaid,0,12411,9498,9.5,8902,19.11
Wheat,Pune,6,Monsoon,0,8082,10026,21.7,5616,13.39
Grapes,Hadapsar,1,Rabi,0,7500,5184,24.8,8481,24.95
